symbol,score,Date,log_rate
A,0.5727645966937143,2008-07-02,-0.06398193848234611
A,0.5769786513142529,2008-07-16,0.016845844146467052
A,0.5799362948371,2008-07-30,0.01981498947220496
A,0.569939701869057,2008-08-13,-0.019492783530935975
A,0.5505044621118649,2016-07-13,0.04247161103870628
A,0.6661164616978039,2017-06-14,-0.024817770484729135
A,0.6565504948841097,2017-06-28,0.00932784933151197
A,0.6941969293364462,2017-07-12,0.011378107716670787
A,0.6970113720738572,2017-07-26,-0.019544315947814216
A,0.6834114098898252,2017-08-09,-0.004998358113155598
A,0.7792361842338328,2017-08-23,0.0050478917938217086
A,0.7517694239417474,2017-09-06,0.02400152965527298
A,0.753595377289046,2017-09-20,0.03174162787382555
A,0.7447693510779532,2017-10-04,-0.008299669328297983
A,0.7622110419250451,2017-10-18,0.008923312838567508
A,0.7223979915647311,2017-11-01,0.02246314362404257
A,0.7139748856249477,2017-11-15,-0.008439572624769662
A,0.7159599350480763,2017-11-29,0.03789997515554723
A,0.7091211353782282,2017-12-13,-0.030609587676714033
A,0.856094460129383,2017-12-27,0.01443463873934682
A,0.8251875932157365,2018-01-10,0.025431978754596542
A,0.8248843285405074,2018-01-24,0.02707056752133669
A,0.8034375548311592,2018-02-07,-0.08399380078390206
A,0.7992739342331214,2018-02-21,0.026100105065620063
A,0.5049831984609906,2019-08-28,0.049143203264053484
A,0.5141368726338567,2019-09-11,0.08966699149216015
A,0.5145592950732091,2019-10-09,-0.018078924864774693
A,0.5125198241985733,2019-10-23,0.026701119773244075
AAIC,0.662047260425376,2004-02-25,0.020045929047653083
AAIC,0.6738887228969983,2004-03-10,0.008231322280941138
AAIC,0.7992729653577361,2005-03-23,-0.14021905818645464
AAP,0.618935255867796,2008-06-04,0.0075841442650095405
AAP,0.454323108827345,2009-07-01,0.018853118916807812
AAP,0.4607200347413107,2009-07-15,0.009179392385567333
AAP,0.4669194977369134,2009-07-29,0.0023988668943882314
AAP,0.44012238512441,2009-08-12,0.013440836211849966
AAP,0.46481069854299,2009-08-26,-0.08018092464383024
AAP,0.5438580649204764,2009-12-02,-0.016466708488051846
AAP,0.5243469426767939,2009-12-16,0.013894940855099052
AAP,0.5258841719833951,2009-12-30,0.009510845294869261
AAP,0.568622992431962,2010-01-13,-0.031370711350492554
AAP,0.577838031416086,2010-01-27,0.02103966229079644
AAP,0.5855804669519523,2010-02-10,0.04197436317944297
AAP,0.587994268840805,2010-02-24,-0.05102957451720919
AAP,0.5843283447775282,2010-03-10,0.036824375377292155
AAP,0.6283046984902352,2010-08-11,-0.04693878583673428
AAP,0.6350276599544643,2010-12-01,-0.0010805929595249526
AAP,0.7682383078114038,2011-01-12,-0.05777916773597967
AAP,0.7894357196936757,2011-01-26,0.01412202187812878
AAP,0.7904319143541874,2011-02-09,0.054723695998582275
AAP,0.7947634085622213,2011-02-23,-0.09746777274312748
AAP,0.8416378484953648,2011-03-09,0.054668843023175914
AAP,0.8365395063074916,2011-03-23,0.020302289367628946
AAP,0.8609244335976152,2011-04-06,0.028988597650477527
AAP,0.8116975705405725,2011-04-20,0.0034646447862160795
AAP,0.8348935087933028,2011-06-01,-0.1513295657575184
AAP,0.8476890695390872,2011-06-15,-0.05994724013165694
AAP,0.7579210965068294,2011-06-29,0.008079860521103674
AAP,0.7764058759501564,2011-07-13,-0.007067335819949779
AAP,0.8060423786493143,2011-07-27,-0.005289836228515164
AAP,0.8603835865751562,2011-08-10,-0.13553035327976162
AAP,0.6908542065777779,2011-09-21,-0.03280768091539078
AAP,0.7452917561865532,2011-10-05,-0.00925802998572346
AAP,0.7443858217715661,2011-10-19,0.06787028148746393
AAP,0.8287772102164037,2011-11-02,0.05209689483345361
AAP,0.7071808192335116,2011-11-16,0.05168755269033913
AAP,0.7122239542299348,2011-11-30,0.03394270780996352
AAP,0.7154666677568468,2011-12-14,-0.032806029685581314
AAP,0.7165052502314853,2011-12-28,0.05613147762527806
AAP,0.7159745745546487,2012-01-11,0.0015674074682493142
AAP,0.7144573038778428,2012-01-25,0.0322505049567189
AAP,0.7245683734428104,2012-02-08,0.03656248433394582
AAP,0.7201573338819721,2012-02-22,0.08094741792356384
AAP,0.8293026704438609,2012-03-07,0.02468911763984948
AAP,0.8282323794416186,2012-03-21,0.01849684775092965
AAP,0.8288111546900826,2012-04-04,0.026119954333255223
AAP,0.8241286250524867,2012-04-18,-0.004979581727511257
AAP,0.6527753152618792,2015-09-09,0.0048577662594390175
AAP,0.4564950288184092,2020-09-09,-0.024580287766899193
AAP,0.4639918361437959,2020-09-23,-0.0381573559965556
AAPL,0.7005319208954249,2007-01-10,0.18619674252751198
AAPL,0.7173936487548057,2007-01-24,-0.0898660632267195
AAPL,0.7632280527203777,2007-02-07,-0.008465936726866075
AAPL,0.7507141658276965,2007-02-21,0.027731947319479547
AAPL,0.7429052184834911,2007-03-07,-0.024800497110821634
AAPL,0.7371268501178119,2007-03-21,0.049823194863286624
AAPL,0.7613033695223703,2007-04-04,0.027782866858630687
AAPL,0.7669295754589779,2007-04-18,-0.024149530030675916
AAPL,0.7695724500131217,2007-05-02,0.08244096686369179
AAPL,0.6823268160036291,2007-08-15,-0.11103397255067712
AAPL,0.66964374597321,2007-09-12,0.0731449792326723
AAPL,0.485106822651851,2009-12-16,-0.04705095270306203
AAPL,0.5330314293789489,2009-12-30,0.0730864204585583
AAPL,0.7606665614663197,2010-01-13,0.011345476946993333
AAPL,0.8116008191831545,2010-01-27,0.0022751773606763444
AAPL,0.834709364945825,2010-02-10,-0.08040609779111442
