date,time,number,abbr,sector,status,value
2004-02-11,10:01:54.393,XBZT6M-R,FCFS,Finance,MERGED,0.68692378
2004-02-11,10:01:54.393,XKPF5G-R,SWN,Energy Minerals,MERGED,0.6860016
2004-02-11,10:01:54.393,TP3XRS-R,KNX,Transportation,MERGED,0.67972883
2004-02-11,10:01:54.394,MH3J5L-R,CHH,Consumer Services,MERGED,0.67917956
2004-02-11,10:01:54.394,VBJY1V-R,STR,Utilities,MERGED,0.6790079
2004-02-11,10:01:54.394,FT7VMB-R,ATO,Utilities,MERGED,0.67241045
2004-02-11,10:01:54.394,HSDM8G-R,WLP.XX9,Health Services,MERGED,0.67158502
2004-02-11,10:01:54.394,GRSDSK-R,AEE,Utilities,MERGED,0.6701269
2004-02-11,10:01:54.394,TSHPL3-R,ARLP,Energy Minerals,MERGED,0.66962094
2004-02-11,10:01:54.394,TY1WWM-R,SYK,Health Technology,MERGED,0.66860668
2004-02-11,10:01:54.394,L6HSMD-R,MNIQQ,Consumer Services,MERGED,0.66594485
2004-02-11,10:01:54.394,TVNTM3-R,JOE,Finance,MERGED,0.66566354
2004-02-11,10:01:54.394,Q2W445-R,SIAL,Distribution Services,MERGED,0.66304519
2004-02-11,10:01:54.394,RVBG4M-R,LCII,Producer Manufacturing,MERGED,0.65962335
2004-02-11,10:01:54.394,D0G1GY-R,GYMB,Retail Trade,MERGED,0.65878542
2004-02-11,10:01:54.394,LRHPJW-R,MTH,Consumer Durables,MERGED,0.65736861
2004-02-11,10:01:54.394,CJQN0M-R,DFODQ,Consumer Non-Durables,MERGED,0.65721596
2004-02-11,10:01:54.394,RYLVJS-R,IGT.XX1,Technology Services,MERGED,0.65690605
2004-02-11,10:01:54.394,KSZRK7-R,ZQKSQ,Consumer Non-Durables,MERGED,0.64929129
2004-02-11,10:01:54.395,NB6XX6-R,EC.XX9,Process Industries,MERGED,0.64837579
2004-02-11,10:01:54.395,WXGS0C-R,NEWCQ,Finance,MERGED,0.64767313
2004-02-11,10:01:54.395,SHML11-R,STCI.XX10,Consumer Services,MERGED,0.64637252
2004-02-11,10:01:54.395,K1037B-R,APPB.XX1,Consumer Services,MERGED,0.64522167
2004-02-11,10:01:54.395,R4M2WP-R,ROK,Producer Manufacturing,MERGED,0.64519581
2004-02-11,10:01:54.395,FJ1B1C-R,AJG,Finance,MERGED,0.64410524
2004-02-11,10:01:54.395,BRWC0T-R,INGR,Process Industries,MERGED,0.64345581
2004-02-11,10:01:54.395,WQK5W2-R,SRE,Utilities,MERGED,0.64282525
2004-02-11,10:01:54.395,GC4MKW-R,NFX,Energy Minerals,MERGED,0.63926527
2004-02-11,10:01:54.395,LKPWM4-R,SWK,Consumer Durables,MERGED,0.63839263
2004-02-11,10:01:54.395,R3MS27-R,KPP,Industrial Services,MERGED,0.63681222
2004-02-11,10:01:54.395,DBTHKM-R,HUB.A,Producer Manufacturing,MERGED,0.63471395
2004-02-11,10:01:54.395,CQD3P9-R,SWM,Process Industries,MERGED,0.63329038
2004-02-11,10:01:54.395,WSZPWY-R,CLC,Producer Manufacturing,MERGED,0.63129721
2004-02-11,10:01:54.395,KSVQWG-R,MDP,Consumer Services,MERGED,0.62975739
2004-02-11,10:01:54.395,VNMTTH-R,NKE,Consumer Non-Durables,MERGED,0.62908139
2004-02-11,10:01:54.395,NL5NGR-R,CBRL,Consumer Services,MERGED,0.62803454
2004-02-11,10:01:54.395,WDHHDK-R,CBT,Process Industries,MERGED,0.62791833
2004-02-11,10:01:54.395,X59VMH-R,CPG.XX1,Finance,MERGED,0.62605674
2004-02-11,10:01:54.395,VLCYJX-R,SNBR,Consumer Durables,MERGED,0.62494096
2004-02-11,10:01:54.395,GYGLTX-R,POG,Energy Minerals,MERGED,0.62209623
2004-02-11,10:01:54.396,CTYNJ1-R,GE,Producer Manufacturing,MERGED,0.62184293
2004-02-11,10:01:54.396,X55F5B-R,SGK,Commercial Services,MERGED,0.61913884
2004-02-11,10:01:54.396,TMVLRW-R,CSL,Producer Manufacturing,MERGED,0.61545716
2004-02-11,10:01:54.396,RPNJRM-R,BLK,Finance,MERGED,0.6130112
2004-02-11,10:01:54.396,KSWML9-R,HFC,Energy Minerals,MERGED,0.60886866
2004-02-11,10:01:54.396,K28PRH-R,HW,Distribution Services,MERGED,0.60861529
2004-02-11,10:01:54.396,SHRZF5-R,CHD,Consumer Non-Durables,MERGED,0.6076049
2004-02-11,10:01:54.396,LF5N4J-R,UCL.XX10,Energy Minerals,MERGED,0.6062389
2004-02-11,10:01:54.396,CGLRBS-R,SCG,Utilities,MERGED,0.60424001
2004-02-11,10:01:54.396,KTZF10-R,CLE,Retail Trade,MERGED,0.60256062
2004-02-11,10:01:54.396,FGVZR8-R,OFC,Finance,MERGED,0.60152632
2004-02-11,10:01:54.396,WXC53Z-R,PPP.XX1,Energy Minerals,MERGED,0.60077049
2004-02-11,10:01:54.396,XGFDHN-R,SO,Utilities,MERGED,0.59843527
2004-02-11,10:01:54.396,XKTZWR-R,URBN,Retail Trade,MERGED,0.5964913
2004-02-11,10:01:54.396,FBCHQC-R,BBWI,Retail Trade,MERGED,0.5930209
2004-02-11,10:01:54.396,DSG0D4-R,UNS,Utilities,MERGED,0.59178971
2004-02-11,10:01:54.396,VR1F2H-R,VAR,Health Technology,MERGED,0.59060717
2004-02-11,10:01:54.396,GFJPVD-R,MATW,Producer Manufacturing,MERGED,0.59028977
2004-02-11,10:01:54.396,HVQ2KJ-R,SRCL,Industrial Services,MERGED,0.58984161
2004-02-11,10:01:54.397,BZPTB8-R,WSM,Retail Trade,MERGED,0.58936825
2004-02-11,10:01:54.397,WFLMHL-R,BDX,Health Technology,MERGED,0.58447841
2004-02-11,10:01:54.397,FBBBH8-R,CEG.XX3,Utilities,MERGED,0.58346314
2004-02-11,10:01:54.397,T7CGDK-R,SLM,Finance,MERGED,0.58346044
2004-02-11,10:01:54.397,SQGF1V-R,AAIC,Finance,MERGED,0.58128159
2004-02-11,10:01:54.397,SJX5K6-R,KDN,Producer Manufacturing,MERGED,0.57885311
2004-02-11,10:01:54.397,CVXY8G-R,ELK,Consumer Durables,MERGED,0.57316386
2004-02-11,10:01:54.397,PY5KHK-R,CAT,Producer Manufacturing,MERGED,0.57139081
2004-02-11,10:01:54.397,DJD81R-R,SOGCQ,Energy Minerals,MERGED,0.57102998
2004-02-11,10:01:54.397,K28RWK-R,SYNT,Technology Services,MERGED,0.56995382
2004-02-11,10:01:54.397,KDHCQP-R,NLOK,Technology Services,MERGED,0.56701446
2004-02-11,10:01:54.397,GSWHTK-R,NUS,Consumer Non-Durables,MERGED,0.56529795
2004-02-11,10:01:54.397,J2NPSW-R,WFM,Retail Trade,MERGED,0.560644
2004-02-11,10:01:54.397,GV1LNF-R,CNR,Producer Manufacturing,MERGED,0.56057586
