symbol,sector,score,date,close,return_rate
SU,Energy Minerals,0.9537270483805632,2004-02-11,13.28499984741211,0.008314458821593833
GGG,Producer Manufacturing,0.9527531038554632,2004-02-11,9.38888931274414,0.01166548414780144
CWT,Utilities,0.9341805987997436,2004-02-11,14.720000267028809,0.0047668220170871845
BLL,Process Industries,0.9228617858037828,2004-02-11,8.095000267028809,0.002783368112909028
APA,Energy Minerals,0.9121169589405737,2004-02-11,39.83000183105469,0.005791363437160486
MATX,Transportation,0.8669457111769054,2004-02-11,16.394105911254883,0.013249215015185703
ROST,Retail Trade,0.8647885710921392,2004-02-11,7.712500095367432,0.00911763679681275
AXL,Producer Manufacturing,0.8614778885262705,2004-02-11,41.47999954223633,0.018246461904217304
BRO,Finance,0.8601050987037795,2004-02-11,8.8725004196167,0.005368071626246012
GFF,Producer Manufacturing,0.8537495640761625,2004-02-11,22.799999237060547,0.008810579340706302
HUBB,Producer Manufacturing,0.8500253453969924,2004-02-11,39.97999954223633,0.009550237894298774
HTLD,Transportation,0.841196180134259,2004-02-11,11.380000114440918,0.03396216595613391
HGTXU,Miscellaneous,0.8347751273365439,2004-02-11,19.360000610351562,0.0031040569945567126
SHW,Process Industries,0.8323032821503219,2004-02-11,11.970000267028809,0.014021568731525045
SM,Energy Minerals,0.8273696884117278,2004-02-11,14.975000381469727,0.01175497581772409
CRK,Energy Minerals,0.8229617954103624,2004-02-11,97.9000015258789,0.031122843427871305
COKE,Consumer Non-Durables,0.8067271083336184,2004-02-11,50.2599983215332,-0.0001989880908171351
JBHT,Transportation,0.8052300772814623,2004-02-11,13.774999618530273,0.018685222872998453
DLX,Commercial Services,0.7991904408974928,2004-02-11,40.06999969482422,0.01407415509076366
TTC,Producer Manufacturing,0.7978637558991294,2004-02-11,5.960000038146973,0.001679299976498738
PCAR,Producer Manufacturing,0.7952581707718037,2004-02-11,24.804443359375,0.006651690944494592
SSP,Consumer Services,0.7913582625822781,2004-02-11,131.12689208984375,0.025911417930872996
LII,Producer Manufacturing,0.7816603376228503,2004-02-11,18.68000030517578,0.009682717053450628
MGEE,Utilities,0.7772905374100227,2004-02-11,21.440000534057617,-0.001243007023965121
CAA,Consumer Durables,0.77381089902996,2004-02-11,127.3499984741211,0.019025556586562978
NJR,Utilities,0.7683259677237528,2004-02-11,13.333333015441895,0.0025030920352932503
SR,Utilities,0.76089849188817,2004-02-11,30.639999389648438,0.0029416643081644663
RCI,Health Services,0.757159066995856,2004-02-11,10.244999885559082,0.00342213460763585
AOS,Producer Manufacturing,0.7531756113532556,2004-02-11,5.349999904632568,0.007504718604360348
ESRX,Retail Trade,0.751687881316717,2004-02-11,8.613750457763672,-0.005787802192966644
SSD,Producer Manufacturing,0.7488845632819424,2004-02-11,24.625,-0.015113637810048184
ESE,Electronic Technology,0.7477271791951464,2004-02-11,23.469999313354492,0.005125980154686037
SJT,Miscellaneous,0.7389449943508569,2004-02-11,19.299999237060547,0.0005181820014196726
MSA,Consumer Durables,0.7374661696234709,2004-02-11,27.899999618530273,-0.013528190154053207
MIDD,Producer Manufacturing,0.7374591122869543,2004-02-11,6.983333110809326,0.0185480100383262
AWR,Utilities,0.7254995343286235,2004-02-11,12.819999694824219,-0.01394292977367618
IFF,Consumer Non-Durables,0.7231315002817417,2004-02-11,37.310001373291016,-0.003211106028926435
NL,Producer Manufacturing,0.7094193210644568,2004-02-11,14.710000038146973,0.017833135847817667
DHI,Consumer Durables,0.7088288811255016,2004-02-11,22.912500381469727,0.02217534881088625
CRAI,Commercial Services,0.7071757346511817,2004-02-11,35.29999923706055,-0.001981030692815095
BYD,Consumer Services,0.6888162929660583,2004-02-11,20.5,0.006361614706169358
FCFS,Finance,0.6869237833916004,2004-02-11,10.683333396911621,0.049570474436469066
SWN,Energy Minerals,0.6860015978759929,2004-02-11,2.6387500762939453,-0.0009469011372000043
KNX,Transportation,0.6797288311179227,2004-02-11,10.88888931274414,-0.00040805040216249105
CHH,Consumer Services,0.6791795594466459,2004-02-11,19.30500030517578,-0.0023282936656675974
ATO,Utilities,0.6724104500118582,2004-02-11,26.15999984741211,0.000764835909384752
AEE,Utilities,0.670126898242303,2004-02-11,46.90999984741211,0.002347682466111266
ARLP,Energy Minerals,0.6696209419838026,2004-02-11,9.017499923706055,-0.011576809991555307
SYK,Health Technology,0.6686066839329452,2004-02-11,45.45000076293945,0.017534594414479188
JOE,Finance,0.6656635419496006,2004-02-11,39.97999954223633,-0.021527466330357185
MTH,Consumer Durables,0.6573686126467891,2004-02-11,34.71500015258789,0.03936475788026858
IGT,Technology Services,0.6569060515327302,2004-02-11,38.04999923706055,0.023668154417326105
GGG,Producer Manufacturing,0.9532497662107408,2004-02-25,9.377778053283691,-0.005199756718798915
SU,Energy Minerals,0.9405023741403996,2004-02-25,12.65999984741211,0.023173227510366618
CWT,Utilities,0.9348702684442802,2004-02-25,14.710000038146973,-0.003732001241743896
BLL,Process Industries,0.9218954040196708,2004-02-25,8.012499809265137,-0.0038925702079924854
